#EEP   M/Mo    LogTeff  LogG   LogL/Lo F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W   F850LP  
 107  0.850590  3.8480  4.3028  0.4101  4.0904  3.9699  3.8700  3.7217  3.7807  3.6668  3.5669  3.4492  3.4632  3.3621  3.3431  3.2943
 108  0.853702  3.8491  4.2957  0.4232  4.0541  3.9346  3.8354  3.6885  3.7470  3.6343  3.5352  3.4194  3.4328  3.3325  3.3138  3.2658
 109  0.856735  3.8501  4.2887  0.4359  4.0184  3.9000  3.8015  3.6560  3.7140  3.6024  3.5042  3.3900  3.4030  3.3035  3.2851  3.2378
 110  0.859674  3.8512  4.2818  0.4485  3.9836  3.8661  3.7683  3.6241  3.6817  3.5712  3.4738  3.3613  3.3737  3.2750  3.2569  3.2103
 111  0.862510  3.8521  4.2749  0.4607  3.9496  3.8331  3.7359  3.5929  3.6501  3.5406  3.4440  3.3331  3.3450  3.2470  3.2292  3.1833
 112  0.863965  3.8527  4.2714  0.4671  3.9318  3.8158  3.7189  3.5766  3.6335  3.5246  3.4285  3.3184  3.3300  3.2325  3.2148  3.1693
 113  0.865423  3.8532  4.2679  0.4736  3.9138  3.7983  3.7018  3.5601  3.6168  3.5085  3.4128  3.3036  3.3149  3.2179  3.2003  3.1552
 114  0.866884  3.8538  4.2643  0.4801  3.8955  3.7806  3.6844  3.5435  3.5999  3.4922  3.3969  3.2886  3.2997  3.2030  3.1856  3.1409
 115  0.868347  3.8543  4.2606  0.4867  3.8771  3.7627  3.6669  3.5266  3.5829  3.4757  3.3808  3.2734  3.2842  3.1880  3.1708  3.1264
 116  0.869813  3.8549  4.2569  0.4934  3.8585  3.7446  3.6492  3.5096  3.5656  3.4590  3.3646  3.2579  3.2685  3.1728  3.1557  3.1117
 117  0.871278  3.8554  4.2530  0.5002  3.8397  3.7263  3.6312  3.4923  3.5481  3.4420  3.3481  3.2423  3.2526  3.1573  3.1403  3.0968
 118  0.872745  3.8560  4.2491  0.5070  3.8207  3.7078  3.6131  3.4748  3.5303  3.4249  3.3313  3.2263  3.2364  3.1416  3.1248  3.0816
 119  0.874211  3.8565  4.2450  0.5140  3.8015  3.6891  3.5947  3.4571  3.5124  3.4075  3.3144  3.2102  3.2200  3.1257  3.1090  3.0661
 120  0.875678  3.8570  4.2408  0.5210  3.7821  3.6702  3.5761  3.4391  3.4942  3.3899  3.2972  3.1937  3.2034  3.1095  3.0929  3.0505
 121  0.877144  3.8576  4.2365  0.5281  3.7626  3.6511  3.5574  3.4210  3.4759  3.3720  3.2797  3.1770  3.1864  3.0930  3.0766  3.0345
 122  0.878609  3.8581  4.2322  0.5353  3.7428  3.6318  3.5385  3.4026  3.4573  3.3539  3.2620  3.1598  3.1691  3.0763  3.0599  3.0181
 123  0.880073  3.8586  4.2277  0.5426  3.7229  3.6124  3.5194  3.3840  3.4385  3.3356  3.2441  3.1423  3.1516  3.0593  3.0431  3.0016
 124  0.881534  3.8591  4.2230  0.5499  3.7028  3.5927  3.5000  3.3652  3.4195  3.3171  3.2259  3.1247  3.1339  3.0421  3.0260  2.9848
 125  0.882993  3.8596  4.2183  0.5574  3.6825  3.5729  3.4805  3.3461  3.4003  3.2983  3.2076  3.1068  3.1159  3.0246  3.0086  2.9677
 126  0.884447  3.8601  4.2133  0.5649  3.6621  3.5528  3.4608  3.3269  3.3808  3.2794  3.1890  3.0886  3.0976  3.0069  2.9910  2.9504
 127  0.885897  3.8605  4.2083  0.5725  3.6414  3.5326  3.4408  3.3074  3.3612  3.2602  3.1701  3.0702  3.0792  2.9890  2.9732  2.9329
 128  0.887341  3.8610  4.2031  0.5802  3.6205  3.5121  3.4207  3.2878  3.3414  3.2408  3.1511  3.0516  3.0605  2.9708  2.9551  2.9150
 129  0.888778  3.8614  4.1977  0.5880  3.5995  3.4915  3.4004  3.2679  3.3213  3.2212  3.1318  3.0327  3.0416  2.9523  2.9367  2.8969
 130  0.890207  3.8618  4.1922  0.5958  3.5783  3.4707  3.3799  3.2478  3.3011  3.2013  3.1123  3.0136  3.0224  2.9336  2.9181  2.8786
 131  0.891628  3.8622  4.1865  0.6038  3.5570  3.4497  3.3592  3.2276  3.2806  3.1813  3.0925  2.9943  3.0030  2.9147  2.8992  2.8599
 132  0.893035  3.8625  4.1804  0.6118  3.5356  3.4286  3.3383  3.2071  3.2600  3.1610  3.0725  2.9746  2.9832  2.8953  2.8799  2.8408
 133  0.894431  3.8628  4.1741  0.6199  3.5141  3.4074  3.3173  3.1864  3.2392  3.1405  3.0522  2.9546  2.9632  2.8757  2.8603  2.8213
 134  0.895814  3.8630  4.1675  0.6281  3.4925  3.3860  3.2961  3.1655  3.2182  3.1198  3.0317  2.9344  2.9429  2.8557  2.8404  2.8015
 135  0.897183  3.8632  4.1607  0.6364  3.4708  3.3645  3.2747  3.1445  3.1970  3.0989  3.0110  2.9139  2.9223  2.8355  2.8202  2.7814
 136  0.898537  3.8633  4.1536  0.6447  3.4490  3.3429  3.2533  3.1232  3.1757  3.0777  2.9901  2.8931  2.9015  2.8149  2.7997  2.7609
 137  0.899875  3.8634  4.1462  0.6531  3.4271  3.3212  3.2317  3.1019  3.1543  3.0565  2.9689  2.8721  2.8805  2.7941  2.7788  2.7401
 138  0.901196  3.8635  4.1384  0.6616  3.4053  3.2995  3.2101  3.0803  3.1327  3.0350  2.9475  2.8508  2.8591  2.7729  2.7577  2.7189
 139  0.902497  3.8634  4.1304  0.6701  3.3835  3.2777  3.1883  3.0587  3.1110  3.0133  2.9259  2.8292  2.8375  2.7515  2.7362  2.6973
 140  0.903778  3.8633  4.1220  0.6787  3.3616  3.2559  3.1665  3.0368  3.0892  2.9915  2.9041  2.8073  2.8156  2.7296  2.7143  2.6754
 141  0.905040  3.8631  4.1132  0.6873  3.3399  3.2340  3.1446  3.0149  3.0673  2.9695  2.8820  2.7851  2.7934  2.7075  2.6921  2.6530
 142  0.906280  3.8629  4.1040  0.6960  3.3181  3.2122  3.1226  2.9929  3.0452  2.9474  2.8598  2.7626  2.7709  2.6850  2.6695  2.6302
 143  0.907499  3.8625  4.0945  0.7047  3.2965  3.1904  3.1007  2.9707  3.0232  2.9251  2.8373  2.7398  2.7482  2.6621  2.6465  2.6069
 144  0.908694  3.8620  4.0844  0.7135  3.2751  3.1687  3.0787  2.9485  3.0010  2.9026  2.8146  2.7166  2.7251  2.6388  2.6231  2.5832
 145  0.909866  3.8615  4.0739  0.7223  3.2538  3.1470  3.0568  2.9261  2.9788  2.8800  2.7917  2.6932  2.7017  2.6151  2.5993  2.5590
 146  0.911014  3.8608  4.0629  0.7312  3.2327  3.1255  3.0349  2.9037  2.9566  2.8573  2.7686  2.6694  2.6780  2.5911  2.5750  2.5343
 147  0.912136  3.8600  4.0513  0.7401  3.2119  3.1041  3.0131  2.8813  2.9344  2.8344  2.7452  2.6452  2.6539  2.5666  2.5503  2.5090
 148  0.913231  3.8591  4.0392  0.7490  3.1914  3.0829  2.9914  2.8588  2.9122  2.8115  2.7217  2.6206  2.6296  2.5417  2.5252  2.4832
 149  0.914301  3.8580  4.0265  0.7579  3.1712  3.0619  2.9698  2.8363  2.8900  2.7884  2.6980  2.5957  2.6049  2.5163  2.4995  2.4568
 150  0.915342  3.8568  4.0132  0.7669  3.1514  3.0412  2.9484  2.8138  2.8679  2.7653  2.6741  2.5703  2.5798  2.4905  2.4734  2.4299
 151  0.916356  3.8554  3.9992  0.7758  3.1320  3.0208  2.9273  2.7914  2.8460  2.7422  2.6500  2.5445  2.5545  2.4643  2.4469  2.4024
 152  0.917339  3.8538  3.9844  0.7848  3.1132  3.0007  2.9064  2.7691  2.8241  2.7191  2.6259  2.5183  2.5290  2.4377  2.4199  2.3743
 153  0.918293  3.8521  3.9690  0.7938  3.0949  2.9811  2.8859  2.7469  2.8025  2.6960  2.6017  2.4917  2.5032  2.4108  2.3925  2.3456
 154  0.919217  3.8502  3.9527  0.8027  3.0772  2.9620  2.8657  2.7249  2.7812  2.6729  2.5773  2.4648  2.4772  2.3834  2.3646  2.3163
 155  0.920109  3.8480  3.9357  0.8116  3.0604  2.9434  2.8459  2.7031  2.7601  2.6500  2.5530  2.4376  2.4509  2.3556  2.3362  2.2865
 156  0.920971  3.8457  3.9178  0.8204  3.0443  2.9255  2.8267  2.6815  2.7393  2.6272  2.5286  2.4100  2.4244  2.3274  2.3074  2.2560
 157  0.921801  3.8430  3.8989  0.8292  3.0293  2.9082  2.8080  2.6602  2.7190  2.6045  2.5042  2.3821  2.3977  2.2988  2.2781  2.2249
 158  0.922601  3.8402  3.8792  0.8379  3.0152  2.8918  2.7899  2.6393  2.6991  2.5821  2.4798  2.3540  2.3708  2.2699  2.2484  2.1931
 159  0.923370  3.8371  3.8586  0.8466  3.0022  2.8761  2.7724  2.6187  2.6796  2.5599  2.4555  2.3259  2.3439  2.2406  2.2184  2.1609
 160  0.924113  3.8338  3.8371  0.8552  2.9903  2.8613  2.7555  2.5984  2.6606  2.5378  2.4313  2.2977  2.3172  2.2111  2.1880  2.1281
 161  0.924829  3.8302  3.8147  0.8636  2.9796  2.8473  2.7394  2.5786  2.6421  2.5162  2.4072  2.2694  2.2905  2.1813  2.1572  2.0948
 162  0.925266  3.8279  3.8002  0.8689  2.9735  2.8390  2.7297  2.5664  2.6308  2.5027  2.3922  2.2515  2.2736  2.1624  2.1376  2.0736
 163  0.925700  3.8254  3.7850  0.8742  2.9681  2.8312  2.7202  2.5543  2.6196  2.4893  2.3770  2.2333  2.2565  2.1432  2.1178  2.0519
 164  0.926129  3.8227  3.7692  0.8795  2.9634  2.8238  2.7111  2.5423  2.6087  2.4759  2.3619  2.2150  2.2392  2.1238  2.0977  2.0299
 165  0.926555  3.8198  3.7527  0.8847  2.9596  2.8171  2.7024  2.5305  2.5981  2.4626  2.3467  2.1965  2.2218  2.1041  2.0772  2.0074
 166  0.926977  3.8168  3.7357  0.8899  2.9565  2.8109  2.6942  2.5191  2.5878  2.4497  2.3317  2.1783  2.2046  2.0843  2.0566  1.9846
 167  0.927398  3.8135  3.7178  0.8949  2.9550  2.8059  2.6869  2.5082  2.5782  2.4370  2.3168  2.1598  2.1873  2.0642  2.0356  1.9613
 168  0.927818  3.8100  3.6991  0.8998  2.9557  2.8024  2.6806  2.4976  2.5692  2.4245  2.3017  2.1403  2.1694  2.0434  2.0138  1.9370
 169  0.928240  3.8063  3.6797  0.9044  2.9584  2.8003  2.6754  2.4878  2.5611  2.4126  2.2872  2.1212  2.1520  2.0227  1.9921  1.9126
 170  0.928667  3.8023  3.6595  0.9088  2.9624  2.7995  2.6714  2.4793  2.5543  2.4021  2.2740  2.1039  2.1361  2.0031  1.9715  1.8890
 171  0.929099  3.7978  3.6383  0.9124  2.9702  2.8017  2.6699  2.4730  2.5498  2.3936  2.2625  2.0884  2.1218  1.9847  1.9518  1.8661
 172  0.929539  3.7930  3.6165  0.9153  2.9821  2.8073  2.6714  2.4691  2.5480  2.3872  2.2530  2.0745  2.1095  1.9676  1.9334  1.8442
 173  0.929984  3.7879  3.5949  0.9166  2.9998  2.8188  2.6794  2.4708  2.5519  2.3865  2.2490  2.0647  2.1020  1.9553  1.9196  1.8265
 174  0.930431  3.7826  3.5738  0.9168  3.0217  2.8340  2.6907  2.4757  2.5591  2.3888  2.2481  2.0585  2.0978  1.9459  1.9087  1.8114
