#EEP   M/Mo  LogTeff   LogG  LogL/Lo   F336W   F439W   F450W   F555W   F606W   F791W   F814W   F850L
 144  0.794103  3.8152  4.0719  0.4802  3.7244  4.1271  3.9963  3.7171  3.5616  3.1677  3.1579  3.0358
 145  0.794673  3.8146  4.0621  0.4879  3.7078  4.1096  3.9784  3.6980  3.5421  3.1469  3.1370  3.0144
 146  0.795233  3.8140  4.0520  0.4957  3.6913  4.0923  3.9606  3.6790  3.5223  3.1256  3.1157  2.9926
 147  0.795781  3.8132  4.0415  0.5035  3.6748  4.0752  3.9428  3.6598  3.5024  3.1041  3.0941  2.9705
 148  0.796318  3.8124  4.0307  0.5114  3.6585  4.0582  3.9252  3.6405  3.4824  3.0821  3.0721  2.9478
 149  0.796842  3.8115  4.0195  0.5193  3.6424  4.0415  3.9078  3.6212  3.4622  3.0598  3.0498  2.9248
 150  0.797354  3.8105  4.0079  0.5272  3.6264  4.0250  3.8905  3.6019  3.4419  3.0372  3.0271  2.9014
 151  0.797853  3.8094  3.9958  0.5352  3.6107  4.0088  3.8734  3.5825  3.4215  3.0142  3.0040  2.8775
 152  0.798338  3.8082  3.9832  0.5432  3.5953  3.9930  3.8566  3.5631  3.4009  2.9908  2.9805  2.8532
 153  0.798810  3.8069  3.9702  0.5513  3.5802  3.9775  3.8400  3.5438  3.3803  2.9670  2.9568  2.8284
 154  0.799269  3.8055  3.9567  0.5594  3.5655  3.9622  3.8236  3.5245  3.3597  2.9432  2.9328  2.8034
 155  0.799713  3.8040  3.9426  0.5675  3.5513  3.9472  3.8075  3.5054  3.3392  2.9192  2.9088  2.7782
 156  0.800144  3.8023  3.9281  0.5756  3.5376  3.9326  3.7916  3.4864  3.3187  2.8950  2.8844  2.7526
 157  0.800561  3.8005  3.9130  0.5837  3.5245  3.9184  3.7761  3.4675  3.2982  2.8705  2.8599  2.7267
 158  0.800964  3.7986  3.8973  0.5919  3.5121  3.9048  3.7611  3.4488  3.2777  2.8458  2.8351  2.7004
 159  0.801354  3.7965  3.8811  0.6000  3.5005  3.8918  3.7465  3.4302  3.2573  2.8209  2.8100  2.6738
 160  0.801731  3.7943  3.8643  0.6082  3.4899  3.8794  3.7324  3.4118  3.2370  2.7957  2.7847  2.6468
 161  0.802097  3.7919  3.8471  0.6163  3.4803  3.8677  3.7189  3.3936  3.2167  2.7703  2.7591  2.6194
 162  0.802409  3.7905  3.8341  0.6235  3.4695  3.8552  3.7052  3.3769  3.1986  2.7489  2.7376  2.5967
 163  0.802715  3.7880  3.8173  0.6306  3.4637  3.8471  3.6948  3.3613  3.1807  2.7253  2.7139  2.5712
 164  0.803015  3.7846  3.7967  0.6377  3.4637  3.8435  3.6880  3.3468  3.1629  2.6997  2.6880  2.5426
 165  0.803309  3.7804  3.7731  0.6447  3.4697  3.8440  3.6844  3.3335  3.1454  2.6724  2.6605  2.5118
 166  0.803601  3.7762  3.7493  0.6517  3.4779  3.8451  3.6812  3.3204  3.1282  2.6453  2.6331  2.4809
 167  0.803894  3.7723  3.7268  0.6590  3.4857  3.8448  3.6767  3.3067  3.1107  2.6187  2.6063  2.4509
