EEP   M/Mo    LogTeff  LogG   LogL/Lo F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W   F850LP  
  95  0.762697  3.8222  4.3887  0.1739  4.7423  4.5846  4.4569  4.2798  4.3512  4.2124  4.0931  3.9475  3.9672  3.8523  3.8280  3.7651
  96  0.765579  3.8230  4.3822  0.1851  4.7114  4.5548  4.4277  4.2516  4.3226  4.1846  4.0658  3.9211  3.9405  3.8262  3.8022  3.7397
  97  0.768423  3.8237  4.3757  0.1962  4.6810  4.5254  4.3990  4.2238  4.2945  4.1571  4.0389  3.8950  3.9142  3.8005  3.7767  3.7147
  98  0.771226  3.8244  4.3692  0.2070  4.6511  4.4965  4.3708  4.1964  4.2668  4.1301  4.0124  3.8694  3.8882  3.7752  3.7515  3.6901
  99  0.773996  3.8251  4.3627  0.2177  4.6218  4.4681  4.3429  4.1695  4.2395  4.1035  3.9863  3.8440  3.8627  3.7502  3.7267  3.6657
 100  0.776732  3.8258  4.3563  0.2283  4.5929  4.4401  4.3155  4.1429  4.2126  4.0773  3.9606  3.8191  3.8375  3.7255  3.7022  3.6417
 101  0.779435  3.8264  4.3499  0.2387  4.5646  4.4126  4.2886  4.1167  4.1862  4.0515  3.9352  3.7944  3.8126  3.7012  3.6780  3.6179
 102  0.782105  3.8270  4.3436  0.2489  4.5367  4.3855  4.2620  4.0910  4.1601  4.0260  3.9102  3.7701  3.7881  3.6772  3.6541  3.5945
 103  0.784739  3.8276  4.3373  0.2590  4.5093  4.3589  4.2358  4.0655  4.1344  4.0009  3.8855  3.7462  3.7639  3.6535  3.6306  3.5713
 104  0.787336  3.8281  4.3311  0.2689  4.4822  4.3326  4.2101  4.0405  4.1091  3.9762  3.8612  3.7226  3.7401  3.6301  3.6074  3.5485
 105  0.789886  3.8287  4.3249  0.2787  4.4557  4.3068  4.1847  4.0159  4.0842  3.9518  3.8372  3.6993  3.7167  3.6071  3.5845  3.5260
 106  0.792380  3.8292  4.3188  0.2883  4.4296  4.2814  4.1598  3.9916  4.0597  3.9278  3.8137  3.6765  3.6936  3.5844  3.5620  3.5039
 107  0.794815  3.8297  4.3127  0.2978  4.4040  4.2565  4.1353  3.9678  4.0356  3.9043  3.7905  3.6540  3.6709  3.5622  3.5399  3.4821
 108  0.797179  3.8302  4.3068  0.3070  4.3788  4.2319  4.1112  3.9444  4.0119  3.8811  3.7677  3.6318  3.6486  3.5403  3.5181  3.4607
 109  0.799474  3.8307  4.3009  0.3162  4.3541  4.2078  4.0875  3.9213  3.9887  3.8584  3.7454  3.6101  3.6267  3.5188  3.4967  3.4397
